hindi,english
परियोजना नामः,Project name:
परियोजना विकल्प,Project options
Wx विजेट,Wx Widgets
Xlib,Xlib
Xlib dock,Xlib dock
प्रोजेक्ट नाम,project name
प्रोग्राम पैरामीटर,Program Parameters
प्रोग्रामः,Program:
चलाने के लिए लक्ष्य लोड करें,Load Target to run
चलाएँ (_ R) ,_ Run
चलाएँ,Execute
प्रोग्राम रोकें,Stop Program
प्रोग्राम चलाएँ,Kill program
प्रोग्राम पैरामीटर... ,Program Parameters...
आपरेशन चलाएँ,Run operations
अन्वेषण और प्रतिस्थापन,Find & Replace
आगे,Forward
पीछे,Backward
स्कोप,Scope
नियमित (रेगुलर) एक्सप्रेशन. ,Regular expression
कोई सीमा नहीं,No Limit
क्रिया,Actions
सुधारें,Modify
विन्यास,Setting
ढूंढें (_ F)... ,_ Find...
अगला ढूंढें (_ N) ,Find _ Next
पिछला ढूंढें (_ P) ,Find _ Previous
ढूंढ रहे हैं... ,Searching...
Specify File List,All Project Files
अगला मिलान बदलें,Replace next match
सभी मिलानों को बदलें,Replace all matches
ढूंढें (_ F)... ,Find:
बदलें,Replace
सभी बदलें,Replace All
मौजूदा पंक्ति को उभारें,Highlight current line
दृश्य,View
फ़ॉन्टः,Font:
फ़ॉन्ट,Font
परियोजना विकल्प,Print options
छापा जा रहा है,Printing
प्रारंभ,Starter
प्रोजेक्ट साफ करें (_ C) ,Create File / Project
प्रोजेक्ट साफ करें (_ C) ,Recent Projects
Anjuta घर पेज (_ H) ,Anjuta Home Page
Anjuta स्थिति,Anjuta Manual
सबवर्सन,Subversion Options
रीयल्मः,Realm:
पूर्व संदेश (_ P) ,Previous Commit Messages:
पूर्व संदेश (_ P) ,Use previous message
लॉग देखिए,View Log
स्रोतः,Source:
गंतव्यः,Source / Destination Paths:
पथः,First Path:
संशोधनः,Start Revision:
संशोधनः,End Revision:
नक़ल... ,Copy...
डिफ,Diff
संशोधन,Revision
सबवर्सन,Subversion
उपयोक्ता नामः,Hostname:
नमूना क्रिया,Tag _ Implementation
ढूंढें (_ F)... ,_ Find Symbol...
प्रतीक,Find Symbol
संकेत,Symbols
नमूना क्रिया,SymbolDb menu actions
प्रतीक,Symbol
टर्मिनल,Terminal
पैरामीटर्सः,Parameters:
कमांडः,Command:
औजार,Tool
अपारिभाषित,undefined
अक्षम,Disabled
नया त्वरक... ,New accelerator...
"""% s"" को खोल रहे. My tools (output) ",Opening% s
My tools (error) ,(output)
चल रहा है... ,Running command:% s...
सफलतापूर्वक पूर्ण,Completed unsuccessfully with status code% d
औज़ार,Tools
परियोजना विकल्प,Project root URI
परियोजना विकल्प,Project root path
अभी सक्रिय प्लगिन,Currently edited file name
बिल्ड निर्देशिका चुनें,Currently edited file directory
मौजूदा चयन,Currently selected text in editor
मौजूदा चयन,Current line in editor
to pop up a dialog,Replace selection
पॉपअप संवाद,Popup dialog
आउटपुट छोड़ें,Discard output
कुछ नहीं,
मौजूदा बफर,Current buffer
मौजूदा चयन,Current selection
स्ट्रिंग,String
Copyright (c) Naba Kumar,Copyright (c) Naba Kumar
लोड किया सत्र... ,Loaded Session...
फ़ाइल (_ F) ,_ File
बाहर (_ Q) ,_ Quit
वरीयताएं (_ P) ,_ Preferences
पूर्ण स्क्रीन (_ F) ,_ Full Screen
पूरा स्क्रीन मोड टॉगल करें,Toggle fullscreen mode
औजारपट्टी (_ T) ,_ Toolbar
मदद (_ H) ,_ Help
Anjuta advanced tutorial,Anjuta advanced tutorial
बार बार पूछे जाने वाले प्रश्न (_ F) ,_ Frequently Asked Questions
अंजुटा बार बार पूछे जाने वाले प्रश्न,Anjuta frequently asked questions
Anjuta घर पेज (_ H) ,Anjuta _ Home Page
के बारे में (_ A) ,_ About
Anjuta परिचय,About Anjuta
संपादन,Edit
संस्थापित प्लगिन,Installed plugins
शॉर्टकट्स,Shortcuts
WIDTHxHEIGHT + XOFF + YOFF,WIDTHxHEIGHT + XOFF + YOFF
- Integrated Development Environment,- Integrated Development Environment
Anjuta,Anjuta
प्रतीक,Icons
आइकन फाइलः,Icons only
पाठ,Text only
मूलभूत प्रोजेक्ट निर्देशिकाः,Default project directory:
डेवलेपर नामः,Developer name:
डेवलेपर ईमेल पताः,Developer email address:
परियोजना तयशुदा,Project Defaults
सबवर्सन,Session
प्रकटन,Appearance
स्मार्ट हाशिया सक्रिय करें,Enable smart indentation
हाशिया पैरामीटर,Indentation parameters
स्वचालित हाशिया,Indent:
स्मार्ट हाशिया,Parenthese indentation
स्मार्ट हाशिया,Smart Indentation
कोड समाप्ति सक्रिय करें,Enable code completion
स्वतःपूर्ण (C/C + +/Java केवल) ,Autocompletion (C / C + + / Java only)
कालटिप्स दिखाएँ,Show calltips
काल्स,Calltips
स्वतःपूर्ण,Autocomplete
स्वतः पूर्ण (_ A) ,_ AutoComplete
स्वचालित हाशिया,Auto Indent
Swap. h/. c,Swap. h /. c
C + +/Java Assistance,C + + / Java Assistance
C/C + +/Java/Vala,C / C + + / Java / Vala
GtkSourceView Editor,GtkSourceView Editor
Gdb,Gdb
Gdb प्लगिन. ,Gdb plugin.
Git संस्करण नियंत्रण,Git version control
API मद,API Help
अंजुटा के लिए डेव वहेल्प प्लगिन,Devhelp Plugin for Anjuta.
फाइल सहायक,File Assistant
Anjuta फाइल सहायक प्लगिन,Anjuta File Assistant Plugin
ग्लेड अतंरफलक डिजायनर,Glade interface designer
Anjuta के लिए ग्लेड प्लगिन,Glade Plugin for Anjuta.
ग्लेड फाइल,Glade File
कार्य प्रबंधक,Task Manager
Anjut के लिए टूडू प्लगिन,Todo Plugin for Anjuta.
मैक्रो प्लगिन,Macro Plugin
पैच प्लगिन,Patch Plugin
आटोमेक बिल्ड,Automake Build
अंजुता के लिए टर्मिनल प्लगिन,Terminal Plugin for Anjuta.
CVS प्लगिन,CVS Plugin
संस्करण नियंत्रण सिस्टम प्लगिन,A version control system plugin
प्रोजेक्ट इंपोर्ट सहायक,Project Import Assistant
GtkSourceview संपादक,GtkSourceview editor
C + + और जावा सपोर्ट प्लगिन,C + + and Java support Plugin
प्रोजेक्ट सहायक,Project Assistant
ढूंढा जा रहा है,Searching
खोज रहा है घटक के लिए,Component for searching
Anjuta वर्ग जनक प्लगिन,Anjuta Class Generator Plugin
C + +/GObject Class,C + + / GObject Class
परियोजना प्रबंधक,Project Manager
Anjuta के लिए नमूना प्लगिन. ,Symbol Database Plugin for Anjuta.
संदेश प्रबंधक,Message Manager
मैनेजर प्लगिन डिबग करें,Debug Manager plugin.
प्रोग्राम चलाएं,Run Program
भाषा प्रबंधक,Language Manager
मेकफाइल आधारित परियोजना,Makefile backend
मेकफाइल आधारित परियोजना,Makefile backend for project manager
अंजूटा IDE,Anjuta IDE
यूनिकोड,Unicode
पश्चिमी,Western
मध्य यूरोपीय,Central European
दक्षिण यूरोपीय,South European
बाल्टिक,Baltic
साइरिलिक,Cyrillic
अरबी,Arabic
यूनानी,Greek
हिब्रू दृश्य,Hebrew Visual
हिब्रू,Hebrew
तुर्की,Turkish
नोर्डिक,Nordic
सेल्टिक,Celtic
रोमानियाई,Romanian
आर्मेनियाई,Armenian
चीनी पारम्परिक,Chinese Traditional
साइरिलिक/रूसी,Cyrillic / Russian
जापानी,Japanese
कोरियाई,Korean
चीनी (सरल) ,Chinese Simplified
ज्यॉर्जियाई,Georgian
साइरिलिक/यूक्रेनी,Cyrillic / Ukrainian
विएतनामी,Vietnamese
थाई,Thai
अज्ञात,Unknown
Anjuta शेल,Anjuta Shell
लोड,Load
मौजूद प्लगिन,Available Plugins
वरीय प्लगिन,Preferred plugins
प्लगिन चुनें,Select a plugin
यह चयन याद रखें,Remember this selection
प्रोफ़ाइल,Profiles
मौजूद प्लगिन,Available plugins
सक्रिय प्लगिन,Activated plugins
अभी सक्रिय प्लगिन,Currently activated plugins
Anjuta स्थिति,Anjuta Status
Icon:% s,Anjuta status to use in loading and unloading of plugins
प्लगइन प्रबंधक,Plugin Manager
प्रोफ़ाइल नाम,Profile Name
प्रोफाइल प्लगिन,Profile Plugins
तुल्यकालन URI,Synchronization file
रिसेट करें (_ R) ,_ Reset
श्रेणी,Category
सामान्य,General
Anjuta वरीयता,Anjuta Preferences
सहेजें,Save
वस्तु,Item
बदलाव त्यागें (_ D) ,_ Discard changes
क्रिया,Action
दृष्टिगोचर,Visible
संवेदनशील,Sensitive
शॉर्टकट,Shortcut
सिस्टमः,System:
परिवर्धित,Modified
जोड़ा गया,Added
मिटाया,Deleted
विरोधी,Conflicted
अद्यतन,Up - to - date
अनुपस्थित,Missing
गैर संस्करण,Unversioned
पाठ,Text
रैण्डर करने के लिए पाठ,Text to render
Pixbuf वस्तु,Pixbuf Object
रेंडर के लिए पिक्सबफ,The pixbuf to render.
विजेट नहीं मिलाः% s,Widget not found:% s
प्रोग्राम चुनें,Select Program
आर्गुमेंट्सः,Arguments:
टर्मिनल में चलाएँ,Run in terminal
चलाने के लिए प्रोग्राम चुनेंः,Select Program to run:
कई कमांड एक साथ चलाएँः,Run several commands at a time:
त्रुटि पर जारी रखें,Continue on errors
संदेश अनुवाद करें,Translate messages
बिल्ड (_ B) ,Build
बतौर रूट संस्थापित करेंः,Install as root:
संस्थापित करें (_ I) ,Install
प्रोजेक्ट विन्यस्त करें,Configure Project
प्रोजेक्ट फिर जेनरेट करें,Regenerate project
पुष्टिकरण,Configuration:
विन्यास विकल्पः,Configure Options:
बिल्ड निर्देशिका चुनें,Select a build directory
निर्देशिका बिल्ड करेंः,Build Directory:
डिफ़ॉल्ट,Default
दोषसुधार,Debug
प्रोफाइलिंग,Profiling
ऑप्टीमाइज़्ड,Optimized
प्रोग्राम,Program
make (\\ [\\d + \\])?: \\s + Entering\\s + directory\\s + `(. +) ',make (\\ [\\d +\\])?: \\s + Entering\\s + directory\\s + `(. +) '
make (\\ [\\d + \\])?: \\s + Entering\\s + directory\\s + '(. +)' ,make (\\ [\\d +\\])?: \\s + Entering\\s + directory\\s + '(. +)'
make (\\ [\\d + \\])?: \\s + Leaving\\s + directory\\s + `(. +) ',make (\\ [\\d +\\])?: \\s + Leaving\\s + directory\\s + `(. +) '
make (\\ [\\d + \\])?: \\s + Leaving\\s + directory\\s + '(. +)' ,make (\\ [\\d +\\])?: \\s + Leaving\\s + directory\\s + '(. +)'
दाखिल हो रहा हैः% s,Entering:% s
छोड़ रहा हैः% s,Leaving:% s
चेतावनीः,warning:
उपयोक्ता द्वारा कमांड रद्द,Command canceled by user
सफलतापूर्वक पूर्ण,Completed unsuccessfully
सफलतापूर्वक पूर्ण,Completed successfully
बिल्ड% d:% s,Build% d:% s
बिल्ड (_ B) ,_ Build
प्रोजेक्ट बिल्ड करें (_ B) ,_ Build Project
पूरा प्रोजेक्ट बिल्ड करें,Build whole project
प्रोजेक्ट संस्थापित करें (_ I) ,_ Install Project
पूरा प्रोजेक्ट संस्थापित करें,Install whole project
प्रोजेक्ट साफ करें (_ C) ,_ Clean Project
पूरा प्रोजेक्ट साफ करें,Clean whole project
प्रोजेक्ट विन्यस्त करें,C _ onfigure Project…
प्रोजेक्ट विन्यस्त करें,Configure project
टारबाल बिल्ड करें (_ T) ,Build _ Tarball
संस्थापित करें (_ I) ,_ Install
लाइसेंस,No License
वर्ग जनक,Class Generator
समूह गुण,General Class Properties
वर्ग जनक,Class Elements
गुण,Properties
सिग्नल,Signals
ई-मेल पताः,Author Email Address:
लाइसेंसः,License:
परियोजना में जोड़ें,Add to Project
बनाएँ,Create
नमूना क्रिया,Implementation
क़िस्म,Type
नाम,Name
आर्गुमेंट्स,Arguments
क़िस्म,GType
पैरामीटर्सः,ParamSpec
स्थानीय,Local
विकल्प,CVS Options
ब्राउज़... ,Browse…
संशोधनः,Revision:
विकल्प,Options:
संशोधनः,Use revision / tag:
संशोधनः,Use revision:
विकल्प,Options
पासवर्डः,Password:
उपयोक्ता नामः,Username:
स्थितिः,Repository:
मोड्यूल,Module
विक्रेता,Vendor
जारी,Release
सीवीएस,CVS
जोड़ें (_ A) ,_ Add
हटाएं (_ R) ,_ Remove
अद्यतन करें (_ U) ,_ Update
प्रक्रिया में जोड़ें,Attach to process
खण्डन बिन्दु,Breakpoints
नाम (_ N): ,_ Name:
मान (_ V): ,_ Value:
स्थान,Location
स्थान (_ L): ,_ Location:
मेमोरी,Memory
वर्णनः,Description:
हाँ,Yes
डिबगर,Debugger:
पता,Address:
अक्षम,Disable
शक्तिशाली डिबगिंग औजार,Remote debugging
ब्रेकपाइन्ट टॉगल करें,Toggle Breakpoint
खण्डन बिन्दु,Add Breakpoint…
सक्षम,Enabled
पता,Address
स्थिति,Condition
स्थिति,State
परिवर्तनीय,Variable
मान,Value
विसम्मेलन,Disassembly
जानकारी,Information
पंक्तियाँ,Lines
डिबगर,Debugger
प्रारंभ,Started
लोड किया,Loaded
चल रहा है... ,Running…
रुक गया,Stopped
डिबग करें (_ D) ,_ Debug
पंजीकृत करें,Register
अद्यतन,Update
से,From
को,To
नमूना फाइल आपरेशन,Shared library operations
सिग्नल,Signal
रूकें,Stop
छपाई,Print
पास,Pass
वर्णन,Description
आपरेशन चलाएँ,Signal operations
पंक्ति संख्याएं दिखाएं,Show Line Numbers
क्या पंक्ति संख्याएं दिखाना है,Whether to display line numbers
पंक्ति मार्कर्स दिखाएं,Show Line Markers
क्या पंक्ति मार्कर pixbufs प्रदर्शित करें,Whether to display line marker pixbufs
श्रोत दिखाएं,View Source
सक्रिय,Active
फ्रेम,Frame
फ़ाइल,File
पंक्ति,Line
फंक्शन,Function
प्रयोक्ता,User
समय,Time
कमांड,Command
पथ,Path
लड़ी,Thread
निरीक्षण हटाओ,Remove Watch
मान बदलें,Change Value
सभी मिटाएँ,Remove all
निगरानी,Watches
संदर्भ मदद (_ C) ,_ Context Help
मदद,Help
ढूंढें,Search
पुनः लोड करें (_ R) ,_ Reload
सभी मिटाएँ,Remove bookmark
नाम बदलें (_ R) ,Rename
हटाएँ,Remove
पथः,Path:
फ़ाइल खोलें,Open file
ऐसे फाइल सहेजें,Save file as
बदलें (_ R) ,_ Replace
को,Top
स्थितिः,Position:
संपादक,Editor tabs
सहेजें (_ S) ,_ Save
ऐसे सहेजें... (_ A) ,Save _ As…
वर्तमान फ़ाइल एक भिन्न नाम से सहेजें,Save the current file with a different name
सभी बंद करें,Close All
छपाई,_ Print…
वर्तमान फ़ाइल एक भिन्न नाम से सहेजें,Preview the current file in print format
रूपांतरित करें (_ T) ,_ Transform
चुनें (_ S) ,_ Select
सभी चुनें (_ A) ,Select _ All
टिप्पणी (_ m) ,Co _ mment
पंक्ति संख्याएं दिखाएं,_ Line Number…
ढूंढें (_ S) ,_ Search
संपादन (_ E) ,_ Edit
पिछली क्रिया रद्द करें,Undo the last action
दोहराएँ (_ R) ,_ Redo
अंतिम पूर्ववत् किए क्रिया को दोहराएँ,Redo the last undone action
काटें (_ u) ,C _ ut
कॉपी करें (_ C) ,_ Copy
चयनित पाठ को क्लिपबोर्ड पर कॉपी करें,Copy the selected text to the clipboard
चिपकाएँ (_ P) ,_ Paste
साफ़ करें (_ C) ,_ Clear
स्वतः पूर्ण (_ A) ,_ Auto - Complete
ज़ूम इन,Zoom In
ज़ूम आउट,Zoom Out
हाइलाइट मोड (_ H) ,_ Highlight Mode
दस्तावेज़ (_ D) ,_ Documents
पिछला दस्तावेज़,Previous Document
अगला दस्तावेज़,Next Document
"ActionGroupEditorInsert "", N _ ("" Editor text insertions",Editor text selection
दस्तावेज़,Documents
री-लोड,Reload
मिटाकर लिखें,OVR
प्रविष्ट,INS
ज़ूम,Zoom
स्तंभ,Col
मोड,Mode
स्वचालित,Automatic
खोलें '% s' ,Open '% s'
recent menu label,Unknown item
recent menu label,_% d.% s
के साथ खोलेंः,Open with:
सभी फ़ाइलें,All files
नया (_ N) ,_ New
खोलें (_ O) ,_ Open…
खोलें (_ O) ,_ Open
नया,New
खोलें,Open
हाल का खोलें (_ R) ,Open _ Recent
फ़ाइल खोलें,Open a file
विजेट नहीं मिलाः% s,File not found
के साथ खोलेंः,Open With
वैश्विक,Global
लोड किया जा रहा है... ,Loading...
फ़ाइलनाम,Filename
नाम बदलें (_ R) ,_ Rename
फ़ाइल,Files
फ़ाइल प्रबंधक,File Manager
नया फ़ाइल,New File
जानकारी,File Information
नामः,Name:
क़िस्मः,Type:
अन्य,Other
परिवर्तनीय,Variables
प्लगिन चुनें,Select package
दस्तावेज़,Man Documentation
जानकारी,Info Documentation
मोड्यूल,Lisp Module
ग्लेड फाइल,Header Files
मोड्यूल,Java Module
मोड्यूल,Python Module
जेनेरिक,Generic rule
प्रोजेक्ट विन्यस्त करें,Configure file
इंटरफेस,Interface file
समूह गुण,Group doesn 't exist
पूरा प्रोजेक्ट संस्थापित करें,Unable to update project
परियोजना बन्द करें,Malformed project
डैरक्टरी चुनो,Project directory
संस्करणः,Version
परियोजना,Project:
परियोजना नामः,Package name:
संस्करणः,Version:
प्रयोक्ता,Use
परियोजना नामः,Group name:
प्रोजेक्ट संस्थापित करें (_ I) ,Install directories:
आपरेशन चलाएँ,Advanced options
परियोजना नामः,Target name:
प्रोजेक्ट संस्थापित करें (_ I) ,Install directory:
परियोजना विकल्प,Project doesn 't exist
छोड़ रहा हैः% s,Loading Core:% s
No such file or directory,The program is attached. Do you still want to stop the debugger?
प्रक्रिया में जोड़ें,Attaching to process:% d…
प्रक्रिया में जोड़ें,Detaching the process…
संदेश,Log Message:
डैरक्टरी चुनो,Select file to add:
बाध्य करें,Force
डैरक्टरी चुनो,Select file to remove:
मिलाएं,Merge
परियोजना नामः,Branch name:
शीर्ष,Head
हटाएँ,Remote
लेखकः,Author:
"Author ""means search for commits whose author matches the given grep expression."" Grep",Grep:
तारीख़,Date
सेः,From:
कोः,To:
मान बदलें,Changes:
नियम नामः,Tag name:
रिसेट करें (_ R) ,Reset to:
मिले-जुले,Mixed
सॉफ्ट,Soft
कठिन,Hard
प्रकारः,Mode:
संशोधनः,Bad revision:
संशोधनः,Good revision:
डैरक्टरी चुनो,Select Files to Ignore:
चुनें एक फ़ोल्डर,Select a Folder
निगरानी,Branches
सभी फ़ाइलें,Apply mailbox files
चुनें एक फ़ोल्डर,Select Mailbox File
मिटाएँ,Delete Tags
सभी मिलानों को बदलें,Clear all stashes
काल ग्राफ,Graph
लेखक,Author
प्लगिन चुनें,Select a file
input widget,Git: Pull complete.
input widget,Git: Push complete.
मान बदलें,_ Changes
लॉग देखिए,_ View log…
फ़ाइल,_ Files
जोड़ें (_ A) ,_ Add…
हटाएं (_ R) ,_ Remove…
फाइल चुनें,Ignore files
पैचेस,Patches
त्यागें (_ A) ,_ Abort
निगरानी,_ Branches
मिलाएं,_ Merge…
प्रारंभ,_ Start…
जारी रखें (_ C) ,_ Continue
छोड़ें (_ S) ,_ Skip
वर्तमान फ़ाइल एक भिन्न नाम से सहेजें,Skip the current conflicted commit and continue
मिटाएँ,_ Delete…
बनाएँ,_ Create tag…
बनाएँ,Create a tag
मिटाएँ,_ Delete tag…
मिटाएँ,Delete tags
रिसेट करें (_ R) ,_ Reset / Revert
रिसेट करें (_ R) ,_ Reset tree…
नमूना फाइल आपरेशन,Start a bisect operation
संपादक,Editor
सत्र,New association
स्थितिः,Position type
विजेट्स,Widget name
क्रिया,Manage associations
मौजूदा बफर,Current
फ़ाइल खोलें,End of file
ग्लेड फाइल,_ Glade
संस्करणः,Versioning…
मौजूदा चयन,Current default target
वर्तमान फ़ाइल एक भिन्न नाम से सहेजें,Save the current file
पिछली क्रिया रद्द करें,Redo the last action
मौजूदा चयन,Cut the selection
मौजूदा चयन,Copy the selection
यह चयन याद रखें,Delete the selection
नमूना फाइल आपरेशन,Glade designer operations
विजेट्स,Widgets
रंग-पट्टिका,Palette
ग्लेड अतंरफलक डिजायनर,Glade GUI Designer
वस्तु जोड़ें,Add Item
वस्तु का संपादन करें,Edit Item
सारांशः,Summary:
वर्गः,Category:
वर्गों का संपादन,Edit Categories
प्राथमिकताः,Priority:
टिप्पणीः,Comment:
पूर्ण,Completed
विकल्प,HTML export options:
देखें (_ V) ,_ View
सभी,All
प्राथमिकता,Priority
नियत तारीख़,Due date
सारांश,Summary
पढ़ने में विफल '% s':% s,Failed to read file
निजी,Personal
व्यवसाय,Business
निम्न,Low
मध्यम,Medium
उच्च,High
मिटाएँ,Delete
कार्य (_ T) ,_ Tasks
कार्य प्रबंधक,Task manager
कार्य प्रबंधक,Task manager view
कार्य,Tasks
कार्य प्रबंधक,To - do Manager
Anjuta वरीयता,To - do List Preferences
इंटरफेस,Interface
उभारें,Highlight
स्वतःपूर्णPurge items after% d days,Auto - purge completed items
Purge items after% d days,Purge items after
अधिसूचना,Notification
कोई तारीख़ नहीं,No Date
मेक्रोज़,Macros:
मेक्रोज़,Macro details:
संपादन,Edit…
शॉर्टकटः,Shortcut:
प्रविष्ट,Insert
मेक्रोज़,Macros
मेक्रो जोड़ें (_ A)... ,_ Add Macro…
मेक्रोज़,Macros…
संदेश,Messages options
संदेश,Message colors
रेखांकित,Underline - Plain
रेखांकित,Underline - Squiggle
रेखांकित,Underline - TT
संदेश,No Messages
चेतावनीः,No Warnings
प्रतीक,Icon
संदेश,Messages
अगला संदेश (_ N) ,_ Copy Message
संदेश सहेजें,Copy message
अगला संदेश (_ N) ,_ Next Message
पूर्व संदेश (_ P) ,_ Previous Message
संदेश सहेजें,Save message
पैच प्लगिन,Patching…
औजार (_ T) ,_ Tools
पैचेस,_ Patch…
परियोजना नामः,Project name
स्थान (_ L): ,Location:
गंतव्यः,Destination:
संस्करण नियंत्रण सिस्टम प्लगिन,Import from version control system
परियोजना विकल्प,Import options
परियोजना बन्द करें,Import project
परियोजना नामः,_ Group name:
परियोजना नामः,Target _ name:
स्रोतः,Add Source
स्रोतः,Source files:
परियोजना,Project
परियोजना नामः,GbfProject Object
प्रोजेक्ट नाम,No project loaded
समूह गुण,Group properties
स्रोतः,Source:% s
शॉर्टकटः,Shortcut:% s
प्रोजेक्ट विन्यस्त करें,Confirm remove
प्रोजेक्ट (_ P) ,_ Project
गुण (_ P) ,_ Properties
ताज़ा करें (_ R) ,_ Refresh
परियोजना बन्द करें,Close project
परियोजना में जोड़ें,_ Add to Project
हटाएं (_ m) ,Re _ move
प्रोजेक्ट संस्थापित करें (_ I) ,Initializing Project…
परियोजना नामः,Project Loaded
चेतावनीः,Warning
संदेश,Message
बिन्यासः,Confirm the following information:
परियोजना नामः,Project Type:% s
अज्ञात,Unknown error.
दाखिल हो रहा हैः% s,Executing:% s
नहीं,No
डैरक्टरी चुनो,Select directory
सभी चुनें (_ A) ,Select file
प्लगिन चुनें,Select an Image File
फाइल चुनें,Choose Icon
फाइल चुनें,Choose file
जेनेरिक GNOME प्रोजेक्ट,A GNOME applet project
जेनेरिक C + + प्रोजेक्ट,A generic C + + project
जेनेरिक GTK + प्रोजेक्ट,A generic GTK + project
जेनेरिक C + + प्रोजेक्ट,A generic GTKmm (C + +) project
जेनेरिक Xlib डाक एप्लेट,A generic Xlib dock applet
जेनेरिक Xlib प्रोजेक्ट,A generic Xlib project
जेनेरिक Xlib प्रोजेक्ट,A generic minimal and flat project
जेनेरिक प्रोजेक्ट,A generic project
जेनेरिक wx विजेट प्रोजेक्ट,A generic wx Widgets project
नमूना SDL प्रोजेक्ट,A sample SDL project
जेनेरिक Xlib प्रोजेक्ट,A shared or a static library project
C + + समर्थन जोड़ेंः,Add C + + support:
gtk-doc सिस्टम जोड़ेंः,Add gtk - doc system:
अंतराष्ट्रीयकरण जोड़ेंः,Add internationalization:
अंजुता प्लगिन,Anjuta Plugin
बेसिक सूचना,Basic information
Berkeley Software Distribution License (BSD) ,Berkeley Software Distribution License (BSD)
निर्देशिका बिल्ड करेंः,Build library as
जैंगो परियोजना,Django Project
जैंगो परियोजना सूचना,Django Project information
ई-मेल पताः,Email address:
जीटीके + ,GTK +
GTKmm,GTKmm
सामान्य प्रोजेक्ट सूचना,General Project Information
जेनेरिक,Generic
जेनेरिक (Minimal) ,Generic (Minimal)
Generic C + + ,Generic C + +
Generic gcj compiled java,Generic gcj compiled java
Generic java (automake) ,Generic java (automake)
Generic python (automake) ,Generic python (automake)
आइकन फाइलः,Icon File:
प्लगिन के लिए प्रतीक फाइल,Icon file for the plugin
प्लगिन अंतरफलक लागू करें,Implement plugin interfaces
प्लगिन के द्वारा लागू अंतरफलक,Interface implemented by the plugin
इंटरफेसः,Interface:
लाइसेंस,License
मुख्य वर्गः,Main Class:
मुख्य वर्ग,Main class
मेकफाइल परियोजना,Makefile project
मेकफाइल आधारित परियोजना,Makefile - based project
परियोजना नामः,Project name:
परियोजना विकल्प,Project options
Wx विजेट,Wx Widgets
Xlib,Xlib
Xlib dock,Xlib dock
प्रोजेक्ट नाम,project name
प्रोग्राम पैरामीटर,Program Parameters
प्रोग्रामः,Program:
चलाने के लिए लक्ष्य लोड करें,Load Target to run
चलाएँ (_ R) ,_ Run
चलाएँ,Execute
प्रोग्राम रोकें,Stop Program
प्रोग्राम चलाएँ,Kill program
प्रोग्राम पैरामीटर,Program Parameters…
आपरेशन चलाएँ,Run operations
अन्वेषण और प्रतिस्थापन,Find & Replace
the search expression,Replace With:
पैरामीटर्सः,Parameters
आगे,Forward
पीछे,Backward
नियमित (रेगुलर) एक्सप्रेशन. the search expression,Regular expression
कोई सीमा नहीं,No Limit
क्रिया,Actions
परिवर्तनीय,Search variable
ग्लेड फाइल,File Filter
सुधारें,Modify
विन्यास,Setting
ढूंढें (_ F)... ,_ Find…
अगला ढूंढें (_ N) ,Find _ Next
पिछला ढूंढें (_ P) ,Find _ Previous
अन्वेषण और प्रतिस्थापन,Find and R _ eplace…
ढूंढा जा रहा है,Searching…
Specify File List,All Project Files
अगला मिलान बदलें,Replace next match
सभी मिलानों को बदलें,Replace all matches
ढूंढें (_ F)... ,Find:
बदलें,Replace
सभी बदलें,Replace All
मौजूदा पंक्ति को उभारें,Highlight current line
दृश्य,View
फ़ॉन्टः,Font:
फ़ॉन्ट,Font
पंक्ति संख्याएं दिखाएं,Print line numbers
परियोजना विकल्प,Print options
छापा जा रहा है,Printing
प्रारंभ,Starter
प्रोजेक्ट साफ करें (_ C) ,Create File / Project
प्रोजेक्ट साफ करें (_ C) ,Recent Projects
Anjuta घर पेज (_ H) ,Anjuta Home Page
Anjuta स्थिति,Anjuta Manual
सबवर्सन,Subversion Options
रीयल्मः,Realm:
पूर्व संदेश (_ P) ,Previous Commit Messages:
पूर्व संदेश (_ P) ,Use previous message
लॉग देखिए,View Log
स्रोतः,Source:
गंतव्यः,Source / Destination Paths:
पथः,First Path:
संशोधनः,Start Revision:
संशोधनः,End Revision:
अद्यतन करें (_ U) ,_ Update…
मिलाएं,Merge…
लॉग देखिए,_ View Log…
डिफ,_ Diff…
कॉपी करें (_ C) ,Copy…
डिफ,Diff…
डिफ,Diff
संशोधन,Revision
सबवर्सन,Subversion
उपयोक्ता नामः,Hostname:
नमूना क्रिया,Tag _ Implementation
प्रतीक,Find Symbol
संकेत,Symbols
नमूना क्रिया,SymbolDb menu actions
प्रतीक,Symbol
लोड किया जा रहा है... ,Loading…
मौजूद प्लगिन,Available API tags
टर्मिनल,Terminal options
टर्मिनल,Terminal
औज़ार,Tools
परिवर्तनीय,_ Variable…
पैरामीटर्सः,Parameters:
कमांडः,Command:
औजार,Tool
अपारिभाषित,undefined
अक्षम,Disabled
नया त्वरक... ,New accelerator…
"""% s"" को खोल रहे. My tools (output) ",Opening% s
My tools (error) ,(output)
सफलतापूर्वक पूर्ण,Completed unsuccessfully with status code% d
परियोजना विकल्प,Project root URI
परियोजना विकल्प,Project root path
अभी सक्रिय प्लगिन,Currently edited file name
बिल्ड निर्देशिका चुनें,Currently edited file directory
मौजूदा चयन,Currently selected text in editor
मौजूदा चयन,Current line in editor
